Anzac Day, Labour (weekend)		Rā Whakamahara ki ngā Hōia o Ahitereiria me Aotearoa, rā whakatā mō te hunga mahi	anzac_day_3191_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3191/anzac.3191.main_glosses.rp.r480x360.mp4	3.2.1	cheek	events and celebrations|time	anzac day, labour (weekend)	anzac|day|labour|weekend			ra whakamahara ki nga hoia o ahitereiria me aotearoa, ra whakata mo te hunga mahi	ra whakamahara ki nga hoia o ahitereiria me aotearoa|ra whakata mo te hunga mahi
Anzac Day		Rā Whakamahara ki nga Hōia o Ahitereiria me Aotearoa	anzac_day_2622_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2622/anzac_day.2622.main_glosses.rp.r480x360.mp4	5.1.1	fingers/thumb	events and celebrations	anzac day	anzac|day			ra whakamahara ki nga hoia o ahitereiria me aotearoa	ra whakamahara ki nga hoia o ahitereiria me aotearoa
Anzac (day)		Rā Whakamahara ki ngā Hōia o Ahitereiria me Aotearoa	anzac_day_3472_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3472/anzac.3472.main_glosses.mb.r480x360.mp4	3.2.1	chest	events and celebrations	anzac (day)	anzac|day			ra whakamahara ki nga hoia o ahitereiria me aotearoa	ra whakamahara ki nga hoia o ahitereiria me aotearoa
apostrophe		pakini	apostrophe_5580_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5580/apostrophe.5580.main_glosses.mb.r480x360.mp4	5.1.1	in front of face	language and linguistics	apostrophe	apostrophe			pakini	pakini
appeal (legal)		pīra	appeal_legal_3845_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3845/appeal.3845.main_glosses.mb.r480x360.mp4	3.5.1	in front of body	law and crime	appeal (legal)	appeal|legal			pira	pira
approach		poapoa tangata, whakawai tangata	approach_6258_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6258/approach.6258.main_glosses.sp.r480x360.mp4	1.1.1	in front of body	miscellaneous	approach	approach			poapoa tangata, whakawai tangata	poapoa tangata|whakawai tangata
April, August		Paengawhāwhā, Hereturikōkā, Āperira, Ākuhata	april_2867_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2867/month_august.2867.main_glosses.vs.r480x360.mp4	6.1.1	in front of body	time	april, august	april|august			paengawhawha, hereturikoka, aperira, akuhata	paengawhawha|hereturikoka|aperira|akuhata
apron		ārai	apron_3145_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/3145/apron.3145.main_glosses.mb.r480x360.mp4	4.3.2	abdomen	clothes |food and drink|house and garden	apron	apron			arai	arai
apron		ārai	apron_2577_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/2577/apron.2577.main_glosses.mb.r480x360.mp4	5.1.2	chest	clothes |food and drink|house and garden	apron	apron			arai	arai
Aranui		Aranui	aranui_6587_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/6587/Aranui.6587.main_glosses.mb.mp4	3.3.1	in front of body	new zealand place names	aranui	aranui			aranui	aranui
arm		ringaringa	arm_778_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/778/arm.778.main_glosses.vs.r480x360.mp4	1.1.1	upper arm	body and appearance	arm	arm			ringaringa	ringaringa
arm		ringa, ringaringa	arm_520_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/520/arm.520.main_glosses.mb.r480x360.mp4	1.1.1	upper arm	body and appearance	arm	arm			ringa, ringaringa	ringa|ringaringa
Arrowtown			arrowtown_7024_high_resolution.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/7024/Arrowtown.7024.main_glosses.mb.mp4	4.2.1	fingers/thumb	new zealand place names	arrowtown	arrowtown				
art		toi	art_5257_default.png	http://freelex.nzsl.vuw.ac.nz/dnzsl/freelex/assets/5257/art.5257.main_glosses.sp.r480x360.mp4	3.5.2	in front of body	sports, recreation and hobbies	art	art			toi	toi
